id,who,date,area,post_code,gps,lat,lon,name,value,urls,stub,"Apple, crab(Malus sylvestris)","Birch, downy(Betula pubescens)","Birch, silver(Betula pendula)",Blackthorn(Prunus spinosa),Dogwood(Cornus sanguinea),Elder(Sambucus nigra),"Guelder, rose(Viburnum opulus)",Hazel(Corylus avellana),"Maple, field(Acer campestre)","Oak, english(Quercus robur)","Oak, sessile(Quercus petraea)","Willow, goat(Salix caprea)",Alder(Alnus glutinosa),"Cherry, bird(Prunus padus)","Cherry, wild(Prunus avium)",Common privet(Ligustrum vulgare),"Elm, wych(Ulmus glabra)",Hawthorn(Crataegus monogyna),Hornbeam(Carpinus betulus),"Lime, large-leaved(Tilia platyphyllos)","Lime, small-leaved(Tilia cordata)",Rowan(Sorbus aucuparia),Spindle(Euonymus europaea),Wild service tree(Sorbus torminalis),"Beech, common(Fagus sylvatica)",Dog Rose(Rosa canina),Wayfaring tree(Viburnum lantana),Whitebeam(Sorbus aria),Bilberry(Vaccinium myrtillus),Heather(Calluna vulgaris),Holly(Ilex aquifolium),Juniper(Juniperus communis),"Pine, scots(Pinus sylvestris)","Willow, grey(Salix cinerea subsp. Oleifolia)",Broom(Cytisus scoparius),Gorse(Ulex europaeus),"Buckthorn, purging(Rhamnus cathartica)","Pear, common(Pyrus communis)",Aspen(Populus tremula),Alder buckthorn(Frangula alnus),"Alder, grey(Alnus incana)","Alder, red(Alnus rubra)","Hawthorn, midland(Crataegus laevigata)","Willow, common osier(Salix viminalis)",Cherry Plum(Prunus cerasifera),Sea-buckthorn(Hippophae rhamnoides),Wild rasperry(Rubus idaeus),Common walnut (Juglans regia),Sweet chestnut(Castanea sativa),"Willow, eared(Salix aurita)"
146,"Volunteer Group, Local Residents",2021-11-06,200,NG6 9GD,"52.997873,-1.179789",52.997873,-1.179789,34,/tiny-forest-sites/8-tiny-forest/146-bulwell-forest-nottingham,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/146-bulwell-forest-nottingham,146-bulwell-forest-nottingham,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,"Volunteer Group, Local Residents",2021-11-06,21,NG6 9GD,"52.997873,-1.179789",52.997873,-1.179789,34,/tiny-forest-sites/8-tiny-forest/146-bulwell-forest-nottingham,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/146-bulwell-forest-nottingham,146-bulwell-forest-nottingham,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,"Volunteer Group, Local Residents",2021-12-06,206,OX4 4XN,"51.718875,-1.231499",51.718875,-1.231499,37,/tiny-forest-sites/8-tiny-forest/149-littlemore-oxford,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/149-littlemore-oxford,149-littlemore-oxford,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,"Volunteer Group, Local Residents",2021-12-06,39,OX4 4XN,"51.718875,-1.231499",51.718875,-1.231499,37,/tiny-forest-sites/8-tiny-forest/149-littlemore-oxford,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/149-littlemore-oxford,149-littlemore-oxford,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,"Volunteer Group, Local Residents, School Children",2022-03-17,200,EH55 8AH,"55.853687,-3.565495",55.853687,-3.565495,57,/tiny-forest-sites/8-tiny-forest/155-parkhead-west-calder,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/155-parkhead-west-calder,155-parkhead-west-calder,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"Volunteer Group, Local Residents, School Children",2022-03-25,200,G42 8BS,"55.830240, -4.259885",55.83024,-4.259885,58,/tiny-forest-sites/8-tiny-forest/156-queens-park-recreation-ground,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/156-queens-park-recreation-ground,156-queens-park-recreation-ground,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,"Corporate Employees, Volunteer Group, School Children, Earthwatch, Landscape contractors",2022-02-02,201,WV14 6LU,"52.576195,-2.073685",52.576195,-2.073685,66,/tiny-forest-sites/8-tiny-forest/174-shamrock,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/174-shamrock,174-shamrock,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,"Corporate Employees, Volunteer Group, School Children, Earthwatch, Landscape contractors",2022-02-02,16,WV14 6LU,"52.576195,-2.073685",52.576195,-2.073685,66,/tiny-forest-sites/8-tiny-forest/174-shamrock,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/174-shamrock,174-shamrock,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors",2022-01-21,204,WS13 7PY,"52.698821,-1.832111",52.698821,-1.832111,67,/tiny-forest-sites/8-tiny-forest/175-frangipani,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/175-frangipani,175-frangipani,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
176,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors",2022-01-18,205,WS14 9AF,"52.679149,-1.823257",52.679149,-1.823257,68,/tiny-forest-sites/8-tiny-forest/176-turtle-dove,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/176-turtle-dove,176-turtle-dove,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors",2022-01-17,209,WS13 6SN,"52.686275,-1.819246",52.686275,-1.819246,69,/tiny-forest-sites/8-tiny-forest/177-rhinoceros-hornbill,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/177-rhinoceros-hornbill,177-rhinoceros-hornbill,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors",2022-01-19,201,WS7 9HT,"52.680666,-1.912416",52.680666,-1.912416,70,/tiny-forest-sites/8-tiny-forest/179-swallow-tail-humming-bird,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/179-swallow-tail-humming-bird,179-swallow-tail-humming-bird,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
